,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191
chromosomes,uce-1006,uce-1040,uce-1055,uce-1125,uce-1128,uce-1210,uce-1217,uce-1226,uce-1228,uce-1229,uce-1283,uce-1328,uce-1341,uce-1362,uce-1403,uce-1411,uce-1431,uce-1437,uce-1466,uce-1476,uce-1484,uce-1487,uce-1519,uce-1520,uce-1548,uce-1549,uce-1554,uce-1555,uce-1571,uce-1573,uce-1633,uce-1654,uce-1685,uce-1686,uce-1708,uce-1709,uce-1750,uce-1783,uce-1848,uce-1855,uce-1902,uce-191,uce-1916,uce-192,uce-2008,uce-2009,uce-2037,uce-2048,uce-2049,uce-2083,uce-2088,uce-2132,uce-2209,uce-2221,uce-2225,uce-2227,uce-2233,uce-2236,uce-2238,uce-2240,uce-2249,uce-2274,uce-2330,uce-2430,uce-2432,uce-256,uce-2730,uce-2731,uce-2732,uce-2739,uce-2747,uce-2770,uce-2771,uce-28,uce-2837,uce-2851,uce-2872,uce-2875,uce-2898,uce-2915,uce-2918,uce-2920,uce-2927,uce-3043,uce-308,uce-3105,uce-3113,uce-313,uce-3139,uce-3140,uce-3167,uce-3170,uce-3231,uce-3293,uce-3296,uce-3320,uce-3321,uce-3322,uce-3341,uce-3344,uce-335,uce-3372,uce-3383,uce-3392,uce-3393,uce-3407,uce-3435,uce-3437,uce-3440,uce-3515,uce-3517,uce-3520,uce-3548,uce-357,uce-3620,uce-3621,uce-3668,uce-3679,uce-3681,uce-3734,uce-3735,uce-3799,uce-380,uce-3804,uce-381,uce-3837,uce-3969,uce-3970,uce-3987,uce-4019,uce-4026,uce-4027,uce-4029,uce-4030,uce-4033,uce-4077,uce-4111,uce-4160,uce-42,uce-4209,uce-4214,uce-4216,uce-4217,uce-4218,uce-4219,uce-4259,uce-4278,uce-4338,uce-4342,uce-4347,uce-4364,uce-4365,uce-4390,uce-4395,uce-4396,uce-4407,uce-4411,uce-4421,uce-4422,uce-450,uce-451,uce-4578,uce-4579,uce-4583,uce-4584,uce-4585,uce-4609,uce-4628,uce-4629,uce-467,uce-4724,uce-4738,uce-4754,uce-4817,uce-4842,uce-515,uce-518,uce-519,uce-520,uce-560,uce-562,uce-563,uce-629,uce-637,uce-639,uce-667,uce-842,uce-849,uce-855,uce-856,uce-861
D_americana_c5,9468151,22024688,19346267,25602788,25543223,2270756,14709208,4584792,3507466,3491479,11556019,15260395,9047006,6680445,6341458,9257118,8321630,12428986,18627457,5802032,5853604,12043509,3113274,3109799,22405187,22403304,22391942,22390491,20332149,16034249,20583352,13754735,22867294,2316049,14921869,14921271,22319405,13149076,1763300,22534988,8053455,19309253,7261210,19307643,23723655,23723291,9324508,12684345,12685351,8603650,13623623,19346405,18039169,11013715,11002463,10987502,20681341,19479744,13794613,13770984,16062475,8663541,4489214,4311600,4312742,3262731,25322218,25322831,25323765,9543072,9051388,18363042,7257143,15393095,1298552,12801478,3135575,2364856,15783769,6461093,6464389,6466630,25104133,19906851,7199899,14472850,9387006,18230566,24378251,24379016,11016737,1435389,14358308,8872211,10692723,14542539,14539987,18203459,19919763,16049110,3999050,1920327,25490180,19760846,19761080,14597328,16701610,20548717,25189131,12688521,12675148,12631102,12571805,18554429,17937993,17938663,8272263,20536966,24725053,2473924,2475201,10572510,15647786,745738,15648375,10890579,16069029,16069429,23721447,21338457,15863284,15859923,15857024,15854788,15837861,10924332,21338021,19947101,7669238,1277460,4186151,4143090,4136413,14648014,14646534,12824048,13337906,2541873,2034834,12775283,9209968,9210228,13329212,2411713,2411045,14340064,14730021,24433699,24434152,22421316,22422391,20479642,20477247,20438301,20436660,20433092,1304248,1602078,1602492,19877106,13578960,10542777,8800467,17563795,6743612,10310264,10298420,10298079,10296296,10932046,10952017,10952540,4410852,4484479,4485105,15432009,10588588,21684264,19287124,19286937,24481858
D_flavomontana_c5,9664930,18682325.5,15986250,22142008,22079246,25257301.5,15013250,1091283,26535497.2,26518870,11708432,5741811.8,9253554.5,3179750,2848923.5,9454100.7,4812959,12580013,15295972.8,2300365,2355733,12197764,26139479,26136160,19076460,19074666,19062204,19060703,17000264,8710233,17247151.5,13950174,19402802,25299174.5,15231745,15231140.5,18988698,13322490,24776648,19206223.5,4559426,15944898,3779197,15943141,20246105,20245755.2,9520090,12835563.5,12836605,5079855,13812754,15986404,6670241,11175332,11161818,11146571,17340047,16112651,13991388,13967227,8678731,5136756,994453.7,821064,822228.5,26291242,21857329,21857936,21858921.3,9742465,9258201,6332040.5,3775139,5598826,23900792,12962907,26162241.5,25352831.5,8956500,2971791.5,2975145,2977367,21636927.4,16581143,3715564.2,14758769,9584244,6472330,20909098.5,20909891,11178343,24047502.2,14614113,5352805.5,10880461,14843019.5,14840420.5,6499907,16594052,8691835,27012277,24935000,22025739,16422547,16423012,14896924,8027906,17212572,21722564,12840076,12825455.5,12788553,12724463.7,6133410,6768686,6768012,4762620,17200859,21255547.5,25488175,25489541,10765850,9094152,677554,9093560,11063691.5,8672133,8671732,20243877,18000664,8878372.7,8881763,8884600,8886849.7,8903851,11092118,18000205.5,16619121,4178282,154248,27209774,27168153.5,27161192,14948988.5,14947549.2,12988561,13530341,25561379,25045648,12935571,9412877.4,9413119.5,13521427.7,25432035,25431432.8,14593900,15036327.5,20965569,20966051,19094173,19095255,17143446.5,17141089,17109342,17107744,17104160,23906490,24601410.5,24601942,16550702,13766729,10731721,5277695.4,7133356.7,3242519.4,10490740,10478970,10478627,10476356,11099494.5,11111740,11112271,918921,989699.5,990387,5558652,10781865,18350450.9,15921460,15921303,21011775
D_montana_c5,15039200,22114936,19370569,25564789,25503819,2180133.5,9665868,4364654,942444.8,958793,12976958,9089430.8,15464478.5,6513903,6181668,15253803.3,8155400,12106665,18675122.6,5631730,5685796,12487597,1332328,1335305,22511934,22510170,22498640,22497132,20407031,16018735,20656043,10741550,22840705,2139896.5,9443862,9444466.5,22423886,11369276,2662056,22642120,7900495,19329845.3,7119131,19328081,23666976.6,23666619.8,15187923,11851257.5,11850216,8423263,10878594,19370707,18062622,13516030,13527132,13542608,20751056,19501858,10699358,10724237,16049771,8480001,4266515.7,4073214.7,4074358,1183875,25283730,25284345,25285285,14962082,15460355.5,18400913.5,7115062,8941134.5,3183456,11727357,1309762.5,2087084.5,15770678,6304341,6307666.5,6309880,25061137.2,19983061,7056903,9925351,15123076,18261047,24326760,24327543,13513016,3032069.8,10071474,8696030.5,13815155,9838250.5,9840840.5,18233482,19996572,16036555,477442,2493671,25450134,19824252,19824653,9785293,16694865,20620958,25146814.5,11846710,11861619.5,11898611,11960889.3,18599183,17960353,17961021,8105452,20609049,24675843.2,1971583,1970239,13929298,15628490,3927682,15629082,13626373.5,16056308,16056709,23664765.5,21431235,15848906.3,15845579,15842718,15840480.3,15823447,13597777,21430800,20019919,7519160,3404922.5,282329,324137.5,331394,9730362,9731807.8,11700782,11164350,1893530,2385079,11754684,15295531.5,15295290.5,11173271.3,2027247,2027859.2,10090703,9643685.5,24382716,24383169,22528324,22529394,20550946,20548554,20517060,20515418,20511864.2,3177926,2840117.5,2839441,19952250,10924841,13961148,8621450.2,17594314.3,6577645.5,14205466,14217748,14218098,14220386,13590179.5,13577233,13576686,4190399,4261778,4262422,8900533,13912790,21780826.1,19307040,19306844,24430618
D_novamexicana_c5,9450993,21807240,19130701,25229210,25169374,2072611,14438691,4421635,3337495,3321521,11216184,14981040,9018189,6604176,6262777,9227657,8295776,12108390,18454302,5689280,5741839,11726383,2914062,2910585,22188058,22186156,22175085,22173650,20101072,15764607,20368953,13448223,22519986,2116136,14648070,14647472,22102538,12843200,1596862,22321482,8026272,19092015,7207400,19090382,23360559,23360195,9307001,12369925,12370932,8570089,13310772,19130839,17849599,10678311,10667027,10651929,20460081,19259520,13488087,13464423,15795462,8633292,4328969,4151977,4153121,3057347,24947214,24947829,24948771,9526303,9022573,18184068,7203302,15116880,1124992,12489430,2939382,2165299,15503951,6381427,6384762,6386992,24729081,19694518,7145648,14197786,9369347,18052186,23991494,23992269,10681345,1262982,14082516,8843633,10339264,14267989,14265412,18024865,19707438,15782022,3830745,1760289,25116215,19543328,19543673,14330113,16421609,20309205,24814062,12374057,12360707,12311623,12250140,18380998,17736381,17737054,8246179,20297484,24340475,2269232,2270500,10215167,15370223,546499,15370817,10545391,15802079,15802480,23358349,21131574,15579763,15576401,15573479,15571232,15554290,10573722,21131138,19730402,7633660,1103340,4023981,3978889,3972156,14377387,14375907,12515263,13033203,2338148,1870567,12462830,9181668,9181928,13024378,2211197,2210529,14061485,14460296,24047003,24047456,22204388,22205463,20240165,20237768,20206240,20204599,20201028,1130686,1436355,1436769,19664007,13266199,10185453,8771434,17351300,6666336,9952489,9940573,9940232,9938444,10581516,10599454,10599964,4252253,4324215,4324847,15156136,10231316,21483555,19069471,19069284,24094914
D_virilis_c5_A,9109863,21487388,18910682,24875759,24816581,2459567.5,14331647,4320019,1271342.8,1287519,11192684,14871296.2,8695654,6382584,6060984,8902170.3,7985534,12064429,18270615.6,5539343,5593477,11693890,1659631,1662801,21861911,21860077,21849300,21847879,19863556,15607908,20108957,13409334,22192940,2412705.5,14540002.5,14539391.5,21777741,12792294,2880752,21990431,7743172,18874210.3,6964695,18872645,22972569.8,22972206.8,8967189,12309619.2,12310626,8260531,13260606,18910820,17677739,10662578,10651380,10635941,20202775,19028873,13448434,13426957.5,15638066.5,8324041,4217529.7,4033798.7,4034944.5,1524246,24593845,24594460,24595406,9184035,8699746,18005076.5,6960579,15001207,3345214,12435014,1636900.5,2363833.5,15377185,6187976,6191303.5,6193534,24372275.2,19453535,6902261,14113397.5,9027218,17867012,23649972,23650741,10665641.7,3199987.5,14005552,8531325.5,10354886.7,14180127.5,14178028,17835751,19466456,15624714,784960,2748378,24763668,19307049.5,19307209,14227360.5,16344987,20075442,24456281.5,12313805,12300236,12264863,12204997.7,18195827,17589447,17590184,7936805,20063694,23993355,2250653,2249397,10243353,15248151,3884954,15248734,10541156,15644668,15645069,22970358.5,20829697,15453448.3,15450063,15447241,15444990.3,15428105,10568980.5,20829245,19496709,7367473,3365703.5,601585,638612.5,645013,14272349,14270865.8,12460358,12990598,2185678,2651148,12404612.5,8857221.1,8857483,12981761,2312133,2312738.2,13988912,14352620,23703727,23704184,21878143,21879209,19999076,19996661,19965672,19964070,19960483.2,3339551,3029968.5,3029547,19423162,13216774,10215155,8459161.2,17217932.3,6450560.5,9976542,9965284,9964943.2,9963314.5,10583235,10601683,10602186,4132172,4212762,4213407,15039253,10258947,21164544.1,18851823,18851636,23751207
D_virilis_c5,9207215,21571438,18976267,24933248,24874057,2554809.5,14417115,4415311,1372377.8,1388555,11272056,14938568.2,8780589,6476065,6154428,8994896.3,8067694,12114616,18334916.6,5631245,5685380,11754320,1760714,1763884,21943796,21941962,21931183,21929762,19956424,15681463,20192409,13490418,22276298,2504483.5,14613892.5,14613281.5,21861568,12861460,2982568,22072057,7824234,18939794.3,7046340,18938229,23055643.8,23055280.8,9062518,12362228.2,12363235,8342739,13341923,18976405,17695026,10734981,10723783,10708346,20280649,19094476,13531798,13510417.5,15712690.5,8408765,4306415.7,4125395.7,4126564.5,1625293,24651301,24651916,24652862,9281389,8784642,18028556.5,7042224,15071233,3445167,12501235,1737956.5,2455158.5,15451767,6281433,6284760.5,6286991,24429725.2,19516979,6983909,14195816.5,9122556,17890478,23713851,23714620,10738044.7,3302378.5,14088054,8616419.5,10427669.7,14263000.5,14260901,17859214,19529902,15698239,860177,2850223,24821140,19367072.5,19367232,14312539.5,16354771,20158915,24513739.5,12366414,12352845,12317469,12257590.7,18260114,17606732,17607469,8018957,20147197,24057196,2334431,2333175,10316171,15323035,3983366,15323618,10613548,15719304,15719705,23053432.5,20921254,15525787.3,15522400,15519578,15517327.3,15500425,10641379.5,20920802,19560155,7441694,3465660.5,678234,716860.5,723314,14357684,14356203.8,12526579,13059763,2267817,2742773,12470830.5,8949942.1,8950204,13050928,2403550,2404155.2,14072119,14437415,23767608,23768065,21960038,21961104,20091950,20089535,20058546,20056944,20053357.2,3439504,3129923.5,3129502,19486606,13298081,10287970,8544251.2,17233617.3,6544046.5,10049825,10038566,10038225.2,10036596.5,10655635,10674084,10674587,4222750,4301648,4302293,15109276,10331764,21248673.1,18917399,18917212,23815090
