,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162
chromosomes,uce-1040_p1,uce-1051_p2,uce-1052_p2,uce-1052_p3,uce-1081_p2,uce-1181_p1,uce-1207_p1,uce-1276_p4,uce-1298_p1,uce-1298_p2,uce-1298_p3,uce-1298_p4,uce-1322_p4,uce-1322_p5,uce-1322_p6,uce-1346_p3,uce-1351_p1,uce-1362_p1,uce-1477_p1,uce-1477_p2,uce-1477_p3,uce-1477_p4,uce-1477_p5,uce-1526_p5,uce-1526_p6,uce-1533_p1,uce-154_p1,uce-1576_p1,uce-1671_p2,uce-1879_p1,uce-1879_p2,uce-191_p5,uce-191_p6,uce-191_p7,uce-191_p8,uce-1910_p1,uce-1910_p2,uce-1910_p3,uce-1985_p1,uce-2018_p1,uce-2018_p2,uce-2057_p1,uce-2057_p2,uce-2075_p1,uce-2088_p1,uce-2088_p2,uce-2108_p5,uce-2108_p6,uce-2127_p2,uce-2209_p1,uce-224_p1,uce-2247_p1,uce-2275_p1,uce-2288_p1,uce-2356_p1,uce-2370_p1,uce-2404_p1,uce-2546_p1,uce-2565_p1,uce-2586_p1,uce-263_p3,uce-2698_p1,uce-2825_p1,uce-2833_p1,uce-2969_p1,uce-3008_p1,uce-3042_p1,uce-3225_p1,uce-3238_p1,uce-3264_p1,uce-3279_p1,uce-3427_p1,uce-3531_p1,uce-3567_p1,uce-3571_p1,uce-3592_p1,uce-3613_p1,uce-3625_p1,uce-3681_p1,uce-370_p3,uce-3761_p1,uce-3804_p1,uce-3970_p1,uce-3995_p1,uce-4119_p1,uce-4124_p1,uce-44_p2,uce-4417_p1,uce-4465_p1,uce-4554_p1,uce-462_p1,uce-4625_p1,uce-4694_p1,uce-4762_p1,uce-4788_p1,uce-4835_p1,uce-4851_p1,uce-496_p1,uce-496_p2,uce-496_p3,uce-496_p4,uce-5008_p1,uce-5019_p1,uce-5102_p1,uce-5106_p1,uce-5156_p1,uce-5284_p1,uce-5346_p1,uce-5377_p1,uce-5381_p1,uce-5410_p1,uce-5462_p1,uce-548_p1,uce-5607_p1,uce-5869_p1,uce-5905_p1,uce-5933_p1,uce-6044_p1,uce-6213_p1,uce-6313_p1,uce-6316_p1,uce-6324_p1,uce-6445_p1,uce-6515_p1,uce-6566_p1,uce-6613_p1,uce-6948_p1,uce-6968_p1,uce-703_p2,uce-7082_p1,uce-7138_p1,uce-7162_p1,uce-7188_p1,uce-7224_p1,uce-7252_p1,uce-7277_p1,uce-7361_p1,uce-7395_p1,uce-7566_p1,uce-7616_p1,uce-7673_p1,uce-7682_p1,uce-7692_p1,uce-7722_p1,uce-7741_p1,uce-7774_p1,uce-7840_p1,uce-7854_p1,uce-7862_p1,uce-7904_p1,uce-7979_p1,uce-816_p1,uce-816_p2,uce-816_p3,uce-825_p2,uce-855_p1,uce-855_p2,uce-855_p3,uce-855_p4,uce-905_p2,uce-938_p2,uce-955_p1
Bos_indicus_26.y,0.964351154,0.661099361,0.965322922,0.965324078,0.96635269,0.950001479,0.437287671,0.933758673,0.753452573,0.753453653,0.75345481,0.753455928,0.65962882,0.659629996,0.659631153,0.848757975,0.745375934,0.436322267,0.421735998,0.421734842,0.421733685,0.421732528,0.421731371,0.961029633,0.96103079,0.436197916,0.272921762,0.731555151,0.940774461,0.943835132,0.943836289,0.754281517,0.754282674,0.754283831,0.754284988,0.941339315,0.941340472,0.941341629,0.9435609,0.950025794,0.950026951,0.965188987,0.965190144,0.967444586,0.882067556,0.882068713,0.659249191,0.659250348,0.653930742,0.966438785,0.846309052,0.96108557,0.274369647,0.422929319,0.422516602,0.659173643,0.962260727,0.947534392,0.65354045,0.848727181,0.949365608,0.288543044,0.948322323,0.55100839,0.647434784,0.962236836,0.66086003,0.843932476,0.849122872,0.453411236,0.660029351,0.432576748,0.965158675,0.813934023,0.421715598,0.646442423,0.75694293,0.665091249,0.422699802,0.729744124,0.743862817,0.957672073,0.82878816,0.436170882,0.869536582,0.74179148,0.96728408,0.436563025,0.656333079,0.96045963,0.647571187,0.963148675,0.650711571,0.965383468,0.936257594,0.753410364,0.96396711,0.950227467,0.950228624,0.950229858,0.950230938,0.421758385,0.646812546,0.845072289,0.739479133,0.957141367,0.846297328,0.442016276,0.422283344,0.422586326,0.965618865,0.361925956,0.967314932,0.96606604,0.421902809,0.941112864,0.421951998,0.426628059,0.659922122,0.840180672,0.963885912,0.433763455,0.966084377,0.436651588,0.940925537,0.941269687,0.691362328,0.939623137,0.951954732,0.361740693,0.437017758,0.650624762,0.959239469,0.755976157,0.756761407,0.965668074,0.647502291,0.422005237,0.43918354,0.422440167,0.442346889,0.74254744,0.648183842,0.658131708,0.879566398,0.939715403,0.839985998,0.439897196,0.885413412,0.742760066,0.950260305,0.950554031,0.950555188,0.950556345,0.750838614,0.654136811,0.654137833,0.65413899,0.654140147,0.7492647,0.965990974,0.966247332
Bos_taurus_26.y,0.94458855,0.64859523,0.945567349,0.945568503,0.946593328,0.930703976,0.428201366,0.914931296,0.742212275,0.742213353,0.742214507,0.742215622,0.647128474,0.647129647,0.647130801,0.831029207,0.733501813,0.427238454,0.413263636,0.413262482,0.413261328,0.413260174,0.41325902,0.941286542,0.941287696,0.427114455,0.261160358,0.719966907,0.921562489,0.924635828,0.924636982,0.742991641,0.742992795,0.742993949,0.742995103,0.922125784,0.922126938,0.922128092,0.924362288,0.93072823,0.930729384,0.94543381,0.945434964,0.947707416,0.861228734,0.861229888,0.646749918,0.646751072,0.641410666,0.946679206,0.828582076,0.941342339,0.26260436,0.414448869,0.414037327,0.646670426,0.942505415,0.928328029,0.64102132,0.830998491,0.930068786,0.276364743,0.929113779,0.54721065,0.635733826,0.942481585,0.64835681,0.827698522,0.831393165,0.441443844,0.647528014,0.423501324,0.945403613,0.797958775,0.413243287,0.634750796,0.745488645,0.652563528,0.414220066,0.718160505,0.731992398,0.93792139,0.812764831,0.427087489,0.848610501,0.729926419,0.947522427,0.427478566,0.643837699,0.940717997,0.635869847,0.943391027,0.63820298,0.945627723,0.917050417,0.742170173,0.944207225,0.930929087,0.930930241,0.930931471,0.930932549,0.413285966,0.63511335,0.828826266,0.727612557,0.937391831,0.828570382,0.432918429,0.413809544,0.414106876,0.945863643,0.35078916,0.947553393,0.946307381,0.413430064,0.921899904,0.413479072,0.417619992,0.647421075,0.824938902,0.944126232,0.424693135,0.946325673,0.427566906,0.92171303,0.922056331,0.679774151,0.920414434,0.932649322,0.350615,0.427932114,0.638116429,0.939497354,0.744524271,0.745307522,0.945912611,0.635801183,0.413532137,0.430094165,0.41396949,0.433259556,0.730680338,0.636480822,0.645631272,0.858723921,0.920506467,0.824744662,0.430805963,0.864641546,0.730892427,0.930961841,0.931253327,0.931254481,0.931255635,0.74009804,0.641616158,0.641617178,0.641618332,0.641619486,0.738528173,0.946232563,0.946488216
Bubalus_bubalis_23.y,0.943797269,0.647265713,0.944783964,0.944785116,0.945799664,0.929941845,0.431828029,0.914006245,0.739895906,0.739897,0.739898152,0.739899265,0.645790546,0.645791717,0.645792869,0.830508328,0.731495964,0.430870281,0.416836606,0.416835454,0.416834302,0.416833151,0.416831999,0.940514294,0.940515446,0.430746392,0.267079085,0.718105784,0.920632816,0.923704831,0.923705982,0.740670834,0.740671986,0.740673138,0.74067429,0.921195862,0.921197014,0.921198166,0.923436053,0.929966166,0.929967317,0.944650439,0.944651591,0.946912647,0.860802989,0.860804141,0.645412315,0.645413467,0.64009389,0.945885872,0.828010359,0.940569846,0.268498854,0.418020248,0.417610709,0.645332826,0.941711585,0.927570471,0.639704659,0.830477749,0.929308004,0.282190098,0.928355535,0.545390394,0.634443668,0.941687801,0.647021967,0.827126955,0.830875618,0.444979645,0.646188453,0.427082671,0.944620494,0.795472071,0.41681622,0.633462079,0.743164523,0.651268622,0.417793164,0.716271562,0.729960311,0.937181544,0.810448272,0.430719384,0.848190406,0.727881652,0.9467281,0.431106157,0.642505574,0.939986778,0.634579247,0.942612283,0.63685971,0.944844354,0.916089434,0.739852965,0.943415813,0.930157796,0.930158948,0.930160176,0.930161251,0.416859122,0.633823552,0.828265181,0.725564986,0.936662973,0.827998688,0.436507009,0.417383394,0.417680408,0.945075163,0.353956551,0.946759005,0.945512286,0.417002975,0.920970467,0.417052058,0.42117899,0.646081725,0.824358347,0.943334673,0.428273397,0.945531117,0.431194457,0.920783002,0.921125722,0.803120311,0.919499696,0.931878898,0.353782907,0.431558849,0.63677331,0.938747103,0.742221901,0.742985504,0.945124515,0.63451116,0.417105076,0.433720414,0.41754316,0.436846254,0.728637826,0.635148052,0.644297143,0.85829713,0.919591394,0.824181094,0.434431325,0.864150634,0.728849842,0.930190582,0.930478536,0.930479688,0.93048084,0.737856828,0.640303026,0.640304044,0.640305196,0.640306347,0.736282919,0.945438575,0.945694971
Camelus_ferus_11,0.964128861,0.798817967,0.964682721,0.964683484,0.965360504,0.956165617,0.683891476,0.947078971,0.849435972,0.849436684,0.849437447,0.849438185,0.797890008,0.797890797,0.79789156,0.899177124,0.844607998,0.683295019,0.674821848,0.674821085,0.674820322,0.674819559,0.674818795,0.962358138,0.962358901,0.683212993,0.59612448,0.836808757,0.950852023,0.952716703,0.952717466,0.849855453,0.849856216,0.849856979,0.849857742,0.951203328,0.951204091,0.951204855,0.952543391,0.956182572,0.956183335,0.964590048,0.964590824,0.96607642,0.917071967,0.91707273,0.797649347,0.797650111,0.794443829,0.965417614,0.897854818,0.962394756,0.596964446,0.67558901,0.67531547,0.797595316,0.962928265,0.954771269,0.794210189,0.899156048,0.955773788,0.604688708,0.955259739,0.74455886,0.791028366,0.962912455,0.798668414,0.897281231,0.899378165,0.6916636,0.798137029,0.681107804,0.964569494,0.879562601,0.674808378,0.790498559,0.851219669,0.801003465,0.675437409,0.835981776,0.843746841,0.960414496,0.888193631,0.683195835,0.909780617,0.842526137,0.965953056,0.683425315,0.795844384,0.961961768,0.791120174,0.963381452,0.792455784,0.964723028,0.948284603,0.849407315,0.963874997,0.956305885,0.956306648,0.956307411,0.956308276,0.674836386,0.790689411,0.897943662,0.841091634,0.960095612,0.897847237,0.686652647,0.675167735,0.675362009,0.964877325,0.640440858,0.96597375,0.965173684,0.674928588,0.951078731,0.674959903,0.677531341,0.798066959,0.895696526,0.963815688,0.681868708,0.965186403,0.68348778,0.950949427,0.951157921,0.813371933,0.95018561,0.957318083,0.640325444,0.683671446,0.792403864,0.961259283,0.850645344,0.851150565,0.964908106,0.791074741,0.674995809,0.68502321,0.675270418,0.68686408,0.842985276,0.791484377,0.796925508,0.915712737,0.950243203,0.895584521,0.685452332,0.918823141,0.843120189,0.956327114,0.956484184,0.956484947,0.95648571,0.848213741,0.79456166,0.794562334,0.794563097,0.794563848,0.847282564,0.965124193,0.965290332
Canis_lupus_28.y,0.934660363,0.600221245,0.935823367,0.93582478,0.937101179,0.918069967,0.361375672,0.899756533,0.70538999,0.705391308,0.70539272,0.705394086,0.598388155,0.598389591,0.598391003,0.80495153,0.695850313,0.360205935,0.342279439,0.342278027,0.342276615,0.342275202,0.34227379,0.930402958,0.930404371,0.360043881,0.181494728,0.679376419,0.907071967,0.910792715,0.910794127,0.706415917,0.706417329,0.706418741,0.706420154,0.907763711,0.907765123,0.907766535,0.91048711,0.918101652,0.918103065,0.935659665,0.935661078,0.938426732,0.840968553,0.840969965,0.597934643,0.597936056,0.591393815,0.93719852,0.802136205,0.930470967,0.183246556,0.34376255,0.343216641,0.597836926,0.931732701,0.915234349,0.590951415,0.804911982,0.917287239,0.201577975,0.916239537,0.485732269,0.585000705,0.931703275,0.599945607,0.801052839,0.805390964,0.377921529,0.598856873,0.354996309,0.935620376,0.766900451,0.342254204,0.583880568,0.709208102,0.60454906,0.34347234,0.677076941,0.694089846,0.926537059,0.784307262,0.360011018,0.826450537,0.691682363,0.938194315,0.360490824,0.594417758,0.929716629,0.585166078,0.932886713,0.587613274,0.93590051,0.902168441,0.705336646,0.934082345,0.91835455,0.918355962,0.918357375,0.918358787,0.342307665,0.584229253,0.802310806,0.688910258,0.925972153,0.802122692,0.366893186,0.342947524,0.343302565,0.936184411,0.271509506,0.938233016,0.936747951,0.342479771,0.907498336,0.342539352,0.347716633,0.598725516,0.79778379,0.933975658,0.356584294,0.936768432,0.360600289,0.907254949,0.907672514,0.220632399,0.905753006,0.920499272,0.271294768,0.360938686,0.587516569,0.928360921,0.707999263,0.709055369,0.936239308,0.585082579,0.342608797,0.363536378,0.343117064,0.367328077,0.692608901,0.585849582,0.596575851,0.838295766,0.905863694,0.797568298,0.364328828,0.844730873,0.692856926,0.918395558,0.918730283,0.918731695,0.918733108,0.702883612,0.591658883,0.591660131,0.591661543,0.591662956,0.701000945,0.936652376,0.936962054
Capra_aegagrus_26.y,0.945739944,0.64120965,0.946792228,0.946793956,0.948234733,0.931580186,0.416079564,0.915660909,0.736138876,0.736139917,0.736141032,0.736142111,0.639647741,0.639648875,0.639649991,0.826905869,0.727573131,0.415090244,0.399487107,0.399485992,0.399484876,0.399483761,0.399482646,0.942617855,0.942618971,0.414971008,0.247136344,0.71377768,0.922272721,0.925366794,0.925367909,0.736870112,0.736871227,0.736872342,0.736873458,0.922836405,0.92283752,0.922838636,0.925090213,0.931603572,0.931604688,0.946669553,0.946670668,0.949415492,0.860744441,0.860745557,0.639280571,0.639281687,0.633732978,0.948338391,0.82451457,0.942671543,0.248519418,0.400839507,0.400436142,0.639195002,0.943799711,0.929227517,0.633334317,0.826852441,0.930970882,0.262205894,0.930012273,0.530407008,0.628157574,0.943776845,0.640955563,0.823595483,0.827263614,0.429790077,0.640040138,0.410891054,0.946640366,0.793460418,0.399467643,0.627223095,0.739418775,0.645364577,0.400616316,0.71186524,0.725964152,0.939357048,0.808759572,0.414944852,0.845282551,0.723796248,0.949268167,0.41534422,0.636317111,0.942122322,0.628295884,0.944525946,0.630518367,0.946875157,0.917796038,0.7360969,0.945324905,0.931791721,0.931792837,0.931794026,0.931795067,0.399509062,0.627574408,0.824772226,0.721311368,0.938804091,0.824503267,0.420846565,0.400163112,0.400503066,0.947323194,0.334169769,0.94929845,0.947938465,0.399656908,0.922621765,0.399703866,0.404453021,0.639929342,0.820773361,0.945247756,0.412378844,0.947956535,0.415429492,0.922444343,0.922770764,0.474388789,0.921133213,0.933535384,0.333987495,0.415803707,0.630434583,0.940799889,0.738442393,0.739300041,0.947371249,0.628222305,0.399768763,0.418002545,0.400331964,0.421225744,0.724580781,0.628882694,0.638153444,0.858048044,0.921222221,0.820572683,0.418703739,0.864266177,0.724791573,0.931823287,0.932095351,0.932096466,0.932097582,0.734042209,0.633950183,0.633951168,0.633952284,0.633953399,0.732434253,0.947859179,0.948134143
Capra_hircus_26_rf,0.942976382,0.644556534,0.94408158,0.944083389,0.945146211,0.928982678,0.428214663,0.912900297,0.739444334,0.739445423,0.73944659,0.739447718,0.643043492,0.643044678,0.643045845,0.828369342,0.730818087,0.427205923,0.412898848,0.412897681,0.412896514,0.412895348,0.412894181,0.939803121,0.939804288,0.427081053,0.264812928,0.71718221,0.919575805,0.922745721,0.922746888,0.740204793,0.74020596,0.740207127,0.740208294,0.920137165,0.920138332,0.920139499,0.922461579,0.929007142,0.929008309,0.943945489,0.943946656,0.946264789,0.858691666,0.858692833,0.642659781,0.642660948,0.637287812,0.945232984,0.825919493,0.939859284,0.266277567,0.414100873,0.413682722,0.642579912,0.941006274,0.926581603,0.636875047,0.828338187,0.928354692,0.280130085,0.927396475,0.541227975,0.631503914,0.940982354,0.644290498,0.82498895,0.82874364,0.441299196,0.64344488,0.42320721,0.943914957,0.795854279,0.412878487,0.630534963,0.742655516,0.64865573,0.41386568,0.715219958,0.729202208,0.936611386,0.810652938,0.427053691,0.846053813,0.727054568,0.946076949,0.427471512,0.639752518,0.939322564,0.631641639,0.941763447,0.633959558,0.944143344,0.915034888,0.739400403,0.942595899,0.929204083,0.92920525,0.929206494,0.929207583,0.412921815,0.630902532,0.826187416,0.724832426,0.936080946,0.825907669,0.433007595,0.413447937,0.413752945,0.944387269,0.351015147,0.946108668,0.944838403,0.413066404,0.919912551,0.413115528,0.417304121,0.64333689,0.822232479,0.942515194,0.424424249,0.944857305,0.427560735,0.919726948,0.920068497,0.553237842,0.918429204,0.930997261,0.350839598,0.427943162,0.63387191,0.938021786,0.741753463,0.74253053,0.944437404,0.631571629,0.413169202,0.430122249,0.413614987,0.433346908,0.727820686,0.632255856,0.641544976,0.856193803,0.918522336,0.822054713,0.430825553,0.862093216,0.728034118,0.929237415,0.929512417,0.929513584,0.92951475,0.737271685,0.637500758,0.637501788,0.637502955,0.637504122,0.735649563,0.944763687,0.945040633
Ceratotherium_simum_6,0.957534341,0.79138968,0.958189695,0.958190355,0.958798963,0.9494185,0.678915648,0.940547446,0.841280829,0.841281445,0.841282105,0.841282743,0.790511315,0.790511996,0.790512656,0.894170684,0.836800108,0.678366752,0.670390243,0.670389584,0.670388924,0.670388264,0.670387604,0.955481906,0.955482566,0.678292301,0.584558353,0.829192346,0.944297307,0.946082217,0.946082877,0.841730702,0.841731362,0.841732022,0.841732682,0.944605427,0.944606087,0.944606747,0.945936285,0.949433007,0.949433667,0.958106049,0.958106709,0.959428019,0.912020019,0.912020678,0.790293956,0.790294616,0.787407745,0.958846346,0.892951454,0.955513561,0.585317965,0.671065582,0.670827612,0.790248872,0.956150503,0.948136422,0.787200472,0.894152778,0.949061555,0.592968325,0.948565915,0.737146255,0.784337908,0.95613693,0.791247861,0.892472258,0.894368124,0.686682871,0.79072622,0.676101127,0.958088396,0.871209143,0.67037864,0.783832689,0.843006818,0.793412011,0.67093221,0.827983807,0.836008875,0.953435147,0.879648218,0.678277035,0.9048618,0.834893452,0.959322144,0.678504435,0.78871072,0.955123257,0.784419234,0.956638784,0.785646163,0.958224396,0.941768139,0.841256345,0.957234392,0.949540235,0.949540883,0.949541543,0.949542203,0.670403794,0.783997011,0.893029832,0.83346035,0.953164785,0.892944932,0.681451844,0.670698419,0.670868241,0.958361573,0.636720296,0.959340127,0.958627162,0.670482876,0.944495065,0.670511011,0.672833939,0.790666189,0.890826504,0.957178144,0.676788806,0.95863826,0.678555228,0.944380304,0.94456493,0.891850153,0.943660519,0.950586222,0.636620581,0.678718164,0.785601959,0.954390703,0.842431987,0.842938406,0.958388718,0.784380892,0.670541609,0.679966607,0.670787928,0.681655102,0.835329775,0.784746152,0.789662316,0.910830397,0.943712081,0.890727108,0.680336816,0.913783228,0.835443217,0.94955957,0.949746319,0.949746979,0.949747639,0.840127064,0.787539269,0.787539852,0.787540512,0.787541171,0.83921084,0.958584145,0.958731068
Cricetulus_griseus_3,0.774460592,0.980694244,0.774654884,0.774655096,0.774848143,0.772157941,0.943174563,0.769554457,0.996035308,0.996035506,0.996035718,0.996035923,0.980370789,0.980371012,0.980371224,0.75568325,0.994552563,0.943005287,0.940092162,0.940091949,0.940091737,0.940091525,0.940091313,0.773938847,0.773939059,0.942981088,0.912477256,0.992183943,0.770608227,0.771150218,0.77115043,0.996171971,0.996172183,0.996172395,0.996172607,0.770710508,0.77071072,0.770710932,0.771105438,0.772162637,0.772162849,0.774629565,0.77462978,0.775052112,0.760753556,0.760753768,0.980306803,0.980307015,0.979346716,0.774863824,0.755300218,0.773949132,0.912701156,0.94031982,0.940242165,0.980292335,0.774074785,0.771765511,0.979296746,0.755677239,0.772046598,0.914646837,0.771914171,0.962831548,0.97832446,0.774070453,0.980642357,0.755123923,0.755734203,0.945666807,0.980440075,0.942232509,0.774623543,0.750330539,0.940088393,0.978176678,0.996572197,0.981384332,0.940274315,0.991835229,0.994269217,0.77336752,0.752801752,0.942976237,0.758841567,0.993922313,0.775018271,0.943045739,0.979810249,0.773853148,0.978348369,0.774204157,0.978843993,0.774665845,0.769908811,0.996027971,0.774372496,0.772194522,0.772194734,0.77219495,0.772195162,0.940096638,0.978223954,0.755329632,0.993445588,0.773281994,0.755297255,0.944047746,0.940199149,0.940253985,0.774710819,0.929282739,0.775024081,0.774795471,0.940124036,0.770669045,0.940132564,0.940964471,0.980420416,0.754672928,0.774357947,0.94249219,0.774798745,0.943062311,0.770634829,0.770698112,0.967164199,0.770406397,0.772504061,0.929251006,0.943114608,0.978831161,0.773672978,0.996390164,0.996546206,0.774719153,0.978336199,0.94014292,0.943496067,0.940228789,0.944119298,0.994075177,0.978462276,0.98011947,0.760360967,0.770424274,0.754616208,0.943618565,0.761298365,0.994102724,0.772200529,0.77224399,0.772244203,0.772244415,0.995668349,0.979387914,0.979388102,0.979388314,0.979388526,0.995394599,0.7747817,0.774827735
